Date,Site ID,POC,Daily Max CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,Site Latitude,Site Longitude,Dominant Source,Elevation (m),Measurement Scale,Measurement Scale Definition,Monitor Type,Monitoring Agency,Monitoring Objective,NAAQS Primary Monitor?,Networks,Probe Height (m),QA Primary Monitor?
2022-01-11,010730023,2,0.3,Parts per million,3,North Birmingham,11,46,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-12,010730023,2,0.8,Parts per million,9,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-13,010730023,2,0.8,Parts per million,9,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-14,010730023,2,0.5,Parts per million,6,North Birmingham,16,67,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-15,010730023,2,0.6,Parts per million,7,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-16,010730023,2,0.3,Parts per million,3,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-17,010730023,2,0.5,Parts per million,6,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-18,010730023,2,0.6,Parts per million,7,North Birmingham,17,71,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-19,010730023,2,0.3,Parts per million,3,North Birmingham,9,38,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-20,010730023,2,0.2,Parts per million,2,North Birmingham,18,75,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-21,010730023,2,0.2,Parts per million,2,North Birmingham,15,63,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-22,010730023,2,0.4,Parts per million,5,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-23,010730023,2,0.5,Parts per million,6,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-24,010730023,2,0.6,Parts per million,7,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-25,010730023,2,0.3,Parts per million,3,North Birmingham,18,75,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-26,010730023,2,0.3,Parts per million,3,North Birmingham,12,50,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-27,010730023,2,0.6,Parts per million,7,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-28,010730023,2,0.6,Parts per million,7,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-29,010730023,2,0.4,Parts per million,5,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-30,010730023,2,0.6,Parts per million,7,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-31,010730023,2,0.8,Parts per million,9,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-01,010730023,2,0.5,Parts per million,6,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-02,010730023,2,0.2,Parts per million,2,North Birmingham,17,71,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-03,010730023,2,0.2,Parts per million,2,North Birmingham,18,75,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-04,010730023,2,0.2,Parts per million,2,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-05,010730023,2,0.3,Parts per million,3,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-06,010730023,2,0.4,Parts per million,5,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-07,010730023,2,0.5,Parts per million,6,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-08,010730023,2,0.6,Parts per million,7,North Birmingham,18,75,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-09,010730023,2,0.7,Parts per million,8,North Birmingham,18,75,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-02-10,010730023,2,0.7,Parts per million,8,North Birmingham,24,100,42101,Carbon monoxide,093,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
